word	level
Biometric gate	intermediate
E gate	intermediate
Customs channel	intermediate
Quarantine area	intermediate
Transfer desk	intermediate
Connections desk	intermediate
Platform edge	intermediate
Buffer stop	intermediate
Signal light	intermediate
Wayfinding sign	intermediate
Flight information screen	intermediate
Public address speaker	intermediate
Guesthouse	beginner
Resort	beginner
Room	beginner
Bed	beginner
Pillow	beginner
Blanket	beginner
Wardrobe	beginner
Dresser	beginner
Desk	beginner
Chair	beginner
Lamp	beginner
Mirror	beginner
Window	beginner
Door	beginner
Keycard	beginner
Bathroom	beginner
Reception desk	elementary
Hallway	elementary
Stairs	elementary
Balcony	elementary
Terrace	elementary
Bathroom sink	elementary
Shower	elementary
Bathtub	elementary
Towel	elementary
Toiletries set	elementary
Mini fridge	elementary
Tv remote	elementary
Air conditioner	elementary
Heater	elementary
Safe box	elementary
Luggage rack	elementary
Coffee maker	elementary
Room number sign	elementary
Connecting room	intermediate
Family room	intermediate
Bunk bed	intermediate
Sofa bed	intermediate
Bedside table	intermediate
Headboard	intermediate
Reading light	intermediate
Power outlet	intermediate
Usb socket	intermediate
Curtain	intermediate
Blackout curtain	intermediate
Shower screen	intermediate
Bath mat	intermediate
Amenities tray	intermediate
Welcome card	intermediate
Do not disturb sign	intermediate
Fire exit sign	intermediate
Smoke detector	intermediate
Sprinkler head	intermediate
Square	beginner
Street	beginner
Road	beginner
Bridge	beginner
Fountain	beginner
Garden	beginner
Market	beginner
Shop	beginner
Postcard	beginner
Signpost	beginner
Street sign	beginner
Landmark	elementary
Historic building	elementary
Old town	elementary
City gate	elementary
Clock tower	elementary
Cathedral	elementary
Church	elementary
Mosque	elementary
Temple	elementary
Pedestrian street	elementary
Crosswalk	elementary
Traffic light	elementary
Bus stop	elementary
Taxi stand	elementary
Information kiosk	elementary
Tourist map	elementary
Audio guide	elementary
Ticket booth	elementary
Viewpoint	elementary
Observation deck	intermediate
Viewing platform	intermediate
City wall	intermediate
Fortress	intermediate
Citadel	intermediate
Heritage site	intermediate
Archway	intermediate
Colonnade	intermediate
Riverwalk	intermediate
Street market	intermediate
Flea market	intermediate
Artisan shop	intermediate
Souvenir stand	intermediate
Photo spot	intermediate
Panorama point	intermediate
City map board	intermediate
Wayfinding map	intermediate
Public art installation	intermediate
Memorial plaque	intermediate
